DPTOMPIO,DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CCNCT
52317,52,317,GUACHUCAL,52317
52320,52,320,GUAITARILLA,52320
52323,52,323,GUALMATÁN,52323
52352,52,352,ILES,52352
52354,52,354,IMUÉS,52354
52356,52,356,IPIALES,52356
52378,52,378,LA CRUZ,52378
52381,52,381,LA FLORIDA,52381
52385,52,385,LA LLANADA,52385
52390,52,390,LA TOLA,52390
52399,52,399,LA UNIÓN,52399
52405,52,405,LEIVA,52405
52411,52,411,LINARES,52411
52418,52,418,LOS ANDES,52418
52427,52,427,MAGÜÍ,52427
52435,52,435,MALLAMA,52435
52473,52,473,MOSQUERA,52473
52480,52,480,NARIÑO,52480
52490,52,490,OLAYA HERRERA,52490
52506,52,506,OSPINA,52506
52520,52,520,FRANCISCO PIZARRO,52520
52540,52,540,POLICARPA,52540
52560,52,560,POTOSÍ,52560
52565,52,565,PROVIDENCIA,52565
52573,52,573,PUERRES,52573
52585,52,585,PUPIALES,52585
52612,52,612,RICAURTE,52612
52621,52,621,ROBERTO PAYÁN,52621
52678,52,678,SAMANIEGO,52678
52683,52,683,SANDONÁ,52683
52685,52,685,SAN BERNARDO,52685
52687,52,687,SAN LORENZO,52687
52693,52,693,SAN PABLO,52693
52694,52,694,SAN PEDRO DE CARTAGO,52694
52696,52,696,SANTA BÁRBARA,52696
52699,52,699,SANTACRUZ,52699
52720,52,720,SAPUYES,52720
52786,52,786,TAMINANGO,52786
52788,52,788,TANGUA,52788
52835,52,835,SAN ANDRÉS DE TUMACO,52835
52838,52,838,TÚQUERRES,52838
52885,52,885,YACUANQUER,52885
54001,54,001,CÚCUTA,54001
54003,54,003,ÁBREGO,54003
54051,54,051,ARBOLEDAS,54051
54099,54,099,BOCHALEMA,54099
54109,54,109,BUCARASICA,54109
54125,54,125,CÁCOTA,54125
54128,54,128,CÁCHIRA,54128
54172,54,172,CHINÁCOTA,54172
54174,54,174,CHITAGÁ,54174
54206,54,206,CONVENCIÓN,54206
54223,54,223,CUCUTILLA,54223
54239,54,239,DURANIA,54239
54245,54,245,EL CARMEN,54245
54250,54,250,EL TARRA,54250
54261,54,261,EL ZULIA,54261
54313,54,313,GRAMALOTE,54313
54344,54,344,HACARÍ,54344
54347,54,347,HERRÁN,54347
54377,54,377,LABATECA,54377
54385,54,385,LA ESPERANZA,54385
54398,54,398,LA PLAYA,54398
54405,54,405,LOS PATIOS,54405
54418,54,418,LOURDES,54418
54480,54,480,MUTISCUA,54480
54498,54,498,OCAÑA,54498
54518,54,518,PAMPLONA,54518
54520,54,520,PAMPLONITA,54520
54553,54,553,PUERTO SANTANDER,54553
54599,54,599,RAGONVALIA,54599
54660,54,660,SALAZAR,54660
54670,54,670,SAN CALIXTO,54670
54673,54,673,SAN CAYETANO,54673
54680,54,680,SANTIAGO,54680
54720,54,720,SARDINATA,54720
54743,54,743,SILOS,54743
54800,54,800,TEORAMA,54800
54810,54,810,TIBÚ,54810
54820,54,820,TOLEDO,54820
54871,54,871,VILLA CARO,54871
54874,54,874,VILLA DEL ROSARIO,54874
63001,63,001,ARMENIA,63001
63111,63,111,BUENAVISTA,63111
63130,63,130,CALARCÁ,63130
63190,63,190,CIRCASIA,63190
63212,63,212,CÓRDOBA,63212
63272,63,272,FILANDIA,63272
63302,63,302,GÉNOVA,63302
63401,63,401,LA TEBAIDA,63401
63470,63,470,MONTENEGRO,63470
63548,63,548,PIJAO,63548
63594,63,594,QUIMBAYA,63594
63690,63,690,SALENTO,63690
66001,66,001,PEREIRA,66001
66045,66,045,APÍA,66045
66075,66,075,BALBOA,66075
66088,66,088,BELÉN DE UMBRÍA,66088
66170,66,170,DOSQUEBRADAS,66170
66318,66,318,GUÁTICA,66318
66383,66,383,LA CELIA,66383
66400,66,400,LA VIRGINIA,66400
66440,66,440,MARSELLA,66440
66456,66,456,MISTRATÓ,66456
66572,66,572,PUEBLO RICO,66572
66594,66,594,QUINCHÍA,66594
66682,66,682,SANTA ROSA DE CABAL,66682
66687,66,687,SANTUARIO,66687
68001,68,001,BUCARAMANGA,68001
68013,68,013,AGUADA,68013
68020,68,020,ALBANIA,68020
68051,68,051,ARATOCA,68051
68077,68,077,BARBOSA,68077
68079,68,079,BARICHARA,68079
68081,68,081,BARRANCABERMEJA,68081
68092,68,092,BETULIA,68092
68101,68,101,BOLÍVAR,68101
68121,68,121,CABRERA,68121
68132,68,132,CALIFORNIA,68132
68147,68,147,CAPITANEJO,68147
68152,68,152,CARCASÍ,68152
68160,68,160,CEPITÁ,68160
68162,68,162,CERRITO,68162
68167,68,167,CHARALÁ,68167
68169,68,169,CHARTA,68169
68176,68,176,CHIMA,68176
68179,68,179,CHIPATÁ,68179
68190,68,190,CIMITARRA,68190
68207,68,207,CONCEPCIÓN,68207
68209,68,209,CONFINES,68209
68211,68,211,CONTRATACIÓN,68211
68217,68,217,COROMORO,68217
68229,68,229,CURITÍ,68229
68235,68,235,EL CARMEN DE CHUCURÍ,68235
68245,68,245,EL GUACAMAYO,68245
68250,68,250,EL PEÑÓN,68250
68255,68,255,EL PLAYÓN,68255
68264,68,264,ENCINO,68264
68266,68,266,ENCISO,68266
68271,68,271,FLORIÁN,68271
68276,68,276,FLORIDABLANCA,68276
68296,68,296,GALÁN,68296
68298,68,298,GÁMBITA,68298
68307,68,307,GIRÓN,68307
68318,68,318,GUACA,68318
68320,68,320,GUADALUPE,68320
68322,68,322,GUAPOTÁ,68322
68324,68,324,GUAVATÁ,68324
68327,68,327,GÜEPSA,68327
68344,68,344,HATO,68344
68368,68,368,JESÚS MARÍA,68368
68370,68,370,JORDÁN,68370
68377,68,377,LA BELLEZA,68377
68385,68,385,LANDÁZURI,68385
68397,68,397,LA PAZ,68397
68406,68,406,LEBRIJA,68406
68418,68,418,LOS SANTOS,68418
68425,68,425,MACARAVITA,68425
68432,68,432,MÁLAGA,68432
68444,68,444,MATANZA,68444
68464,68,464,MOGOTES,68464
68468,68,468,MOLAGAVITA,68468
68498,68,498,OCAMONTE,68498
68500,68,500,OIBA,68500
68502,68,502,ONZAGA,68502
68522,68,522,PALMAR,68522
68524,68,524,PALMAS DEL SOCORRO,68524
68533,68,533,PÁRAMO,68533
68547,68,547,PIEDECUESTA,68547
68549,68,549,PINCHOTE,68549
68572,68,572,PUENTE NACIONAL,68572
68573,68,573,PUERTO PARRA,68573
68575,68,575,PUERTO WILCHES,68575
68615,68,615,RIONEGRO,68615
68655,68,655,SABANA DE TORRES,68655
68669,68,669,SAN ANDRÉS,68669
68673,68,673,SAN BENITO,68673
68679,68,679,SAN GIL,68679
68682,68,682,SAN JOAQUÍN,68682
68684,68,684,SAN JOSÉ DE MIRANDA,68684
68686,68,686,SAN MIGUEL,68686
68689,68,689,SAN VICENTE DE CHUCURÍ,68689
68705,68,705,SANTA BÁRBARA,68705
68720,68,720,SANTA HELENA DEL OPÓN,68720
68745,68,745,SIMACOTA,68745
68755,68,755,SOCORRO,68755
68770,68,770,SUAITA,68770
68773,68,773,SUCRE,68773
68780,68,780,SURATÁ,68780
68820,68,820,TONA,68820
68855,68,855,VALLE DE SAN JOSÉ,68855
68861,68,861,VÉLEZ,68861
68867,68,867,VETAS,68867
68872,68,872,VILLANUEVA,68872
68895,68,895,ZAPATOCA,68895
70001,70,001,SINCELEJO,70001
70110,70,110,BUENAVISTA,70110
70124,70,124,CAIMITO,70124
70204,70,204,COLOSO,70204
70215,70,215,COROZAL,70215
70221,70,221,COVEÑAS,70221
70230,70,230,CHALÁN,70230
70233,70,233,EL ROBLE,70233
70235,70,235,GALERAS,70235
70265,70,265,GUARANDA,70265
70400,70,400,LA UNIÓN,70400
70418,70,418,LOS PALMITOS,70418
70429,70,429,MAJAGUAL,70429
70473,70,473,MORROA,70473
70508,70,508,OVEJAS,70508
70523,70,523,PALMITO,70523
70670,70,670,SAMPUÉS,70670
70678,70,678,SAN BENITO ABAD,70678
70702,70,702,SAN JUAN DE BETULIA,70702
70708,70,708,SAN MARCOS,70708
70713,70,713,SAN ONOFRE,70713
70717,70,717,SAN PEDRO,70717
70742,70,742,SAN LUIS DE SINCÉ,70742
70771,70,771,SUCRE,70771
70820,70,820,SANTIAGO DE TOLÚ,70820
70823,70,823,TOLÚ VIEJO,70823
73001,73,001,IBAGUÉ,73001
73024,73,024,ALPUJARRA,73024
73026,73,026,ALVARADO,73026
73030,73,030,AMBALEMA,73030
73043,73,043,ANZOÁTEGUI,73043
73055,73,055,ARMERO GUAYABAL,73055
73067,73,067,ATACO,73067
73124,73,124,CAJAMARCA,73124
73148,73,148,CARMEN DE APICALÁ,73148
73152,73,152,CASABIANCA,73152
73168,73,168,CHAPARRAL,73168
73200,73,200,COELLO,73200
73217,73,217,COYAIMA,73217
73226,73,226,CUNDAY,73226
73236,73,236,DOLORES,73236
73268,73,268,ESPINAL,73268
73270,73,270,FALAN,73270
73275,73,275,FLANDES,73275
73283,73,283,FRESNO,73283
73319,73,319,GUAMO,73319
73347,73,347,HERVEO,73347
73349,73,349,HONDA,73349
73352,73,352,ICONONZO,73352
73408,73,408,LÉRIDA,73408
73411,73,411,LÍBANO,73411
73443,73,443,SAN SEBASTIÁN DE MARIQUITA,73443
73449,73,449,MELGAR,73449
73461,73,461,MURILLO,73461
73483,73,483,NATAGAIMA,73483
73504,73,504,ORTEGA,73504
73520,73,520,PALOCABILDO,73520
73547,73,547,PIEDRAS,73547
73555,73,555,PLANADAS,73555
73563,73,563,PRADO,73563
73585,73,585,PURIFICACIÓN,73585
73616,73,616,RIOBLANCO,73616
73622,73,622,RONCESVALLES,73622
73624,73,624,ROVIRA,73624
73671,73,671,SALDAÑA,73671
73675,73,675,SAN ANTONIO,73675
73678,73,678,SAN LUIS,73678
73686,73,686,SANTA ISABEL,73686
73770,73,770,SUÁREZ,73770
73854,73,854,VALLE DE SAN JUAN,73854
73861,73,861,VENADILLO,73861
73870,73,870,VILLAHERMOSA,73870
73873,73,873,VILLARRICA,73873
76001,76,001,CALI,76001
76020,76,020,ALCALÁ,76020
76036,76,036,ANDALUCÍA,76036
76041,76,041,ANSERMANUEVO,76041
76054,76,054,ARGELIA,76054
76100,76,100,BOLÍVAR,76100
76109,76,109,BUENAVENTURA,76109
76111,76,111,GUADALAJARA DE BUGA,76111
76113,76,113,BUGALAGRANDE,76113
76122,76,122,CAICEDONIA,76122
76126,76,126,CALIMA,76126
76130,76,130,CANDELARIA,76130
76147,76,147,CARTAGO,76147
76233,76,233,DAGUA,76233
76243,76,243,EL ÁGUILA,76243
76246,76,246,EL CAIRO,76246
76248,76,248,EL CERRITO,76248
76250,76,250,EL DOVIO,76250
76275,76,275,FLORIDA,76275
76306,76,306,GINEBRA,76306
76318,76,318,GUACARÍ,76318
76364,76,364,JAMUNDÍ,76364
76377,76,377,LA CUMBRE,76377
76400,76,400,LA UNIÓN,76400
76403,76,403,LA VICTORIA,76403
76497,76,497,OBANDO,76497
76520,76,520,PALMIRA,76520
76563,76,563,PRADERA,76563
76606,76,606,RESTREPO,76606
76616,76,616,RIOFRÍO,76616
76622,76,622,ROLDANILLO,76622
76670,76,670,SAN PEDRO,76670
76736,76,736,SEVILLA,76736
76823,76,823,TORO,76823
76828,76,828,TRUJILLO,76828
76845,76,845,ULLOA,76845
76863,76,863,VERSALLES,76863
76869,76,869,VIJES,76869
76890,76,890,YOTOCO,76890
76892,76,892,YUMBO,76892
76895,76,895,ZARZAL,76895
81001,81,001,ARAUCA,81001
81065,81,065,ARAUQUITA,81065
81220,81,220,CRAVO NORTE,81220
81300,81,300,FORTUL,81300
81591,81,591,PUERTO RONDÓN,81591
81736,81,736,SARAVENA,81736
81794,81,794,TAME,81794
85001,85,001,YOPAL,85001
85010,85,010,AGUAZUL,85010
85015,85,015,CHÁMEZA,85015
85125,85,125,HATO COROZAL,85125
85136,85,136,LA SALINA,85136
85139,85,139,MANÍ,85139
85162,85,162,MONTERREY,85162
85225,85,225,NUNCHÍA,85225
85230,85,230,OROCUÉ,85230
85250,85,250,PAZ DE ARIPORO,85250
85263,85,263,PORE,85263
85279,85,279,RECETOR,85279
85300,85,300,SABANALARGA,85300
85315,85,315,SÁCAMA,85315
85325,85,325,SAN LUIS DE PALENQUE,85325
85400,85,400,TÁMARA,85400
85410,85,410,TAURAMENA,85410
85430,85,430,TRINIDAD,85430
85440,85,440,VILLANUEVA,85440
86001,86,001,MOCOA,86001
86219,86,219,COLÓN,86219
86320,86,320,ORITO,86320
86568,86,568,PUERTO ASÍS,86568
86569,86,569,PUERTO CAICEDO,86569
86571,86,571,PUERTO GUZMÁN,86571
86573,86,573,PUERTO LEGUÍZAMO,86573
86749,86,749,SIBUNDOY,86749
86755,86,755,SAN FRANCISCO,86755
86757,86,757,SAN MIGUEL,86757
86760,86,760,SANTIAGO,86760
86865,86,865,VALLE DEL GUAMUEZ,86865
86885,86,885,VILLAGARZÓN,86885
88001,88,001,SAN ANDRÉS,88001
88564,88,564,PROVIDENCIA,88564
91001,91,001,LETICIA,91001
91263,91,263,EL ENCANTO,91263
91405,91,405,LA CHORRERA,91405
91407,91,407,LA PEDRERA,91407
91430,91,430,LA VICTORIA,91430
91460,91,460,MIRITÍ - PARANÁ,91460
91530,91,530,PUERTO ALEGRÍA,91530
91536,91,536,PUERTO ARICA,91536
91540,91,540,PUERTO NARIÑO,91540
91669,91,669,PUERTO SANTANDER,91669
91798,91,798,TARAPACÁ,91798
94001,94,001,INÍRIDA,94001
94343,94,343,BARRANCO MINAS,94343
94663,94,663,MAPIRIPANA,94663
94883,94,883,SAN FELIPE,94883
94884,94,884,PUERTO COLOMBIA,94884
94885,94,885,LA GUADALUPE,94885
94886,94,886,CACAHUAL,94886
94887,94,887,PANA PANA,94887
94888,94,888,MORICHAL,94888
95001,95,001,SAN JOSÉ DEL GUAVIARE,95001
95015,95,015,CALAMAR,95015
95025,95,025,EL RETORNO,95025
95200,95,200,MIRAFLORES,95200
97001,97,001,MITÚ,97001
97161,97,161,CARURÚ,97161
97511,97,511,PACOA,97511
97666,97,666,TARAIRA,97666
97777,97,777,PAPUNAUA,97777
97889,97,889,YAVARATÉ,97889
99001,99,001,PUERTO CARREÑO,99001
99524,99,524,LA PRIMAVERA,99524
99624,99,624,SANTA ROSALÍA,99624
99773,99,773,CUMARIBO,99773
